"NMI","METER SERIAL NUMBER","CON/GEN","DATE","ESTIMATED?","00:00 - 00:30","00:30 - 01:00","01:00 - 01:30","01:30 - 02:00","02:00 - 02:30","02:30 - 03:00","03:00 - 03:30","03:30 - 04:00","04:00 - 04:30","04:30 - 05:00","05:00 - 05:30","05:30 - 06:00","06:00 - 06:30","06:30 - 07:00","07:00 - 07:30","07:30 - 08:00","08:00 - 08:30","08:30 - 09:00","09:00 - 09:30","09:30 - 10:00","10:00 - 10:30","10:30 - 11:00","11:00 - 11:30","11:30 - 12:00","12:00 - 12:30","12:30 - 13:00","13:00 - 13:30","13:30 - 14:00","14:00 - 14:30","14:30 - 15:00","15:00 - 15:30","15:30 - 16:00","16:00 - 16:30","16:30 - 17:00","17:00 - 17:30","17:30 - 18:00","18:00 - 18:30","18:30 - 19:00","19:00 - 19:30","19:30 - 20:00","20:00 - 20:30","20:30 - 21:00","21:00 - 21:30","21:30 - 22:00","22:00 - 22:30","22:30 - 23:00","23:00 - 23:30","23:30 - 00:00"
6407368008,1109087,Consumption,23/03/2017,No,0.037,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.025,0.05,0.013,0.05,0.188,0.05,0.087,0.063,0.138,0.075,0.05,0.05,0.05,0.075,0.05,0.05,0.05,0.05,0.063,0.037,0.063,0.05,0.063,0.037,0.063,0.05,0.037,0.037,0.738,0.525,1.025,0.925,0.575,0.2,0.275,0.113
6407368008,1109087,Consumption,24/03/2017,No,0.05,0.037,0.063,0.05,0.037,0.025,0.05,0.05,0.025,0.037,0.037,0.05,0.025,0.037,0.037,0.075,0.037,0.05,0.013,0.05,0.05,0.063,0.05,0.025,0.037,0.075,0.05,0.075,0.063,0.013,0.05,0.063,0.037,0.063,0.063,0.037,0.063,0.15,0.037,0.087,0.1,0.075,0.113,0.087,0.087,0.125,0.075,0.037
6407368008,1109087,Consumption,25/03/2017,No,0.05,0.05,0.025,0.05,0.037,0.037,0.05,0.025,0.037,0.05,0.025,0.037,0.05,0.025,0.1,0.087,0.075,0.087,0.087,0.075,0.15,0.063,0.037,0.075,0.075,0.037,0.075,0.675,0.113,0.15,0.063,0.063,0.05,0.15,0.087,0.125,0.087,0.037,0.163,0.15,0.188,0.8,0.45,0.338,0.287,0.25,0.063,0.063
6407368008,1109087,Consumption,26/03/2017,No,0.025,0.05,0.05,0.037,0.037,0.05,0.037,0.037,0.05,0.025,0.05,0.05,0.025,0.05,0.037,0.037,0.05,0.025,0.138,0.063,0.05,0.05,0.05,0.113,0.063,0.087,0.075,0.05,0.063,0.037,0.037,0.075,0.05,0.087,0.063,0.025,0.275,0.212,0.1,0.325,1.013,0.713,0.613,0.675,0.775,0.438,0.325,0.287
6407368008,1109087,Consumption,27/03/2017,No,0.163,0.087,0.05,0.075,0.025,0.063,0.05,0.037,0.063,0.025,0.063,0.037,0.037,0.05,0.037,0.05,0.188,0.1,0.15,0.05,0.075,0.075,0.1,0.087,0.125,0.075,0.037,0.037,0.063,0.037,0.037,0.05,0.188,0.125,0.087,0.037,0.05,0.6,0.762,0.925,0.675,0.4,0.45,0.425,0.412,0.163,0.15,0.163
6407368008,1109087,Consumption,28/03/2017,No,0.15,0.1,0.063,0.05,0.025,0.05,0.05,0.025,0.05,0.037,0.037,0.05,0.063,0.05,0.05,0.063,0.037,0.087,0.087,0.163,0.05,0.087,0.037,0.05,0.037,0.037,0.2,0.212,0.338,0.037,0.05,0.025,0.05,0.05,0.025,0.063,0.263,0.375,0.35,0.487,0.6,0.537,1.225,1.05,0.563,0.05,0.087,0.037
6407368008,1109087,Consumption,29/03/2017,No,0.063,0.037,0.05,0.05,0.087,0.087,0.037,0.05,0.037,0.05,0.05,0.063,0.013,0.063,0.025,0.05,0.037,0.063,0.113,0.063,0.05,0.087,0.412,0.1,0.025,0.15,0.037,0.075,0.063,0.063,0.113,0.075,0.025,0.063,0.025,0.075,0.037,0.087,0.075,0.3,0.338,0.45,0.463,0.338,0.325,0.313,0.287,0.275
6407368008,1109087,Consumption,30/03/2017,No,0.225,0.05,0.063,0.05,0.05,0.063,0.025,0.063,0.025,0.063,0.025,0.063,0.037,0.037,0.037,0.05,0.037,0.037,0.087,0.237,0.188,0.175,0.15,0.25,0.325,0.175,0.1,0.075,0.075,0.025,0.063,0.025,0.063,0.037,0.05,0.063,0.125,0.163,0.275,0.237,0.338,0.225,0.275,0.237,0.463,0.375,0.25,0.175
6407368008,1109087,Consumption,31/03/2017,No,0.037,0.063,0.025,0.063,0.025,0.05,0.037,0.037,0.05,0.025,0.063,0.375,0.075,0.037,0.05,0.2,0.05,0.037,0.025,0.25,1.1,0.625,0.325,0.075,0.037,0.05,0.063,0.05,0.063,0.037,0.063,0.05,0.05,0.05,0.05,0.063,0.1,0.15,0.138,0.625,0.613,0.688,0.237,0.237,0.188,0.05,0.05,0.037
6407368008,1109087,Consumption,01/04/2017,No,0.05,0.037,0.05,0.037,0.05,0.037,0.037,0.05,0.025,0.063,0.025,0.037,0.037,0.037,0.1,0.075,0.138,0.125,0.025,0.037,0.037,0.113,0.075,0.063,0.063,0.037,0.037,0.05,0.025,0.05,0.025,0.125,0.025,0.063,0.025,0.063,0.025,0.1,0.063,0.275,0.263,0.287,0.175,0.063,0.362,0.512,0.5,0.4
6407368008,1109087,Consumption,02/04/2017,No,0.113,0.05,0.037,0.05,0.074,0.10,0.037,0.037,0.05,0.025,0.05,0.563,0.212,0.175,0.212,0.163,0.2,0.625,0.037,0.063,0.25,0.25,0.175,0.163,0.138,0.125,0.113,0.15,0.125,0.063,0.05,0.037,0.125,0.138,0.138,0.237,0.375,0.138,0.037,0.075,0.037,0.138,0.1,0.075,0.037,0.05,0.037,0.05
6407368008,1109087,Consumption,03/04/2017,No,0.05,0.025,0.063,0.025,0.063,0.025,0.05,0.037,0.037,0.05,0.037,0.237,0.313,0.225,0.2,0.5,0.325,0.05,0.05,0.075,0.037,0.15,0.087,0.05,0.05,0.037,0.063,0.037,0.063,0.05,0.063,0.075,0.075,0.1,0.113,0.113,0.1,0.188,0.05,0.738,0.537,1.238,0.625,1.438,0.637,0.45,0.087,0.1
6407368008,1109087,Consumption,04/04/2017,No,0.063,0.05,0.063,0.037,0.063,0.037,0.063,0.037,0.05,0.037,0.063,0.45,0.263,0.225,0.338,0.762,0.125,0.05,0.3,0.037,0.075,0.05,0.05,0.037,0.05,0.037,0.05,0.037,0.05,0.05,0.025,0.063,0.025,0.138,0.087,0.063,0.2,0.6,0.838,0.4,0.787,0.475,0.225,0.125,0.175,0.1,0.175,0.05
6407368008,1109087,Consumption,05/04/2017,No,0.087,0.037,0.063,0.037,0.063,0.037,0.063,0.025,0.075,0.025,0.063,0.025,0.063,0.037,0.05,0.037,0.075,0.175,0.325,0.1,0.637,0.175,0.1,0.1,0.863,0.688,0.738,0.35,0.2,0.063,0.037,0.525,0.125,0.25,0.25,0.287,0.25,0.237,0.3,0.237,0.55,0.762,0.713,0.463,0.313,0.3,0.125,0.05
6407368008,1109087,Consumption,06/04/2017,No,0.05,0.063,0.037,0.05,0.037,0.063,0.025,0.063,0.037,0.063,0.025,0.05,0.1,0.412,0.188,0.188,0.138,0.063,0.1,0.063,0.063,0.05,0.163,0.05,0.063,0.037,0.125,0.1,0.037,0.063,0.025,0.063,0.025,0.063,0.175,0.237,0.113,0.212,0.25,0.35,0.35,0.313,0.325,0.3,0.35,0.313,0.325,0.287
6407368008,1109087,Consumption,07/04/2017,No,0.05,0.063,0.037,0.063,0.037,0.063,0.037,0.05,0.037,0.063,0.025,0.05,0.037,0.05,0.05,0.113,0.063,0.025,0.063,0.025,0.15,0.05,0.063,0.037,0.1,0.087,0.025,0.075,0.188,0.637,0.637,0.225,0.075,0.05,0.087,0.225,0.725,0.875,0.75,0.362,0.4,0.362,0.438,0.438,0.25,0.05,0.063,0.05
6407368008,1109087,Consumption,08/04/2017,No,0.063,0.05,0.037,0.063,0.05,0.05,0.037,0.063,0.037,0.063,0.025,0.063,0.037,0.05,0.037,0.1,0.237,0.1,0.037,0.087,0.113,0.15,0.15,0.263,0.087,0.05,0.075,0.037,0.15,0.037,0.075,0.025,0.237,0.2,0.4,0.188,0.188,0.275,0.487,0.475,0.375,0.175,0.087,0.05,0.063,0.05,0.063,0.037
6407368008,1109087,Consumption,09/04/2017,No,0.063,0.037,0.063,0.113,0.075,0.063,0.05,0.05,0.063,0.025,0.063,0.025,0.063,0.037,0.05,0.075,0.275,0.6,1.138,0.85,0.388,0.275,0.237,0.237,0.163,0.375,0.287,0.313,0.338,0.388,0.45,0.35,0.225,0.225,0.55,0.725,0.313,0.163,0.138,0.188,0.275,0.325,0.3,0.3,0.263,0.225,0.087,0.063
6407368008,1109087,Consumption,10/04/2017,No,0.037,0.05,0.125,0.063,0.05,0.037,0.037,0.05,0.025,0.063,0.075,0.388,0.188,0.188,0.475,0.362,0.225,0.025,0.1,0.05,0.075,0.037,0.287,0.275,0.275,0.2,0.05,0.1,0.05,0.075,0.063,0.1,0.063,0.15,0.2,0.963,1.388,1.313,0.787,0.575,0.825,0.412,0.338,0.4,0.4,0.4,0.35,0.35
6407368008,1109087,Consumption,11/04/2017,No,0.212,0.05,0.05,0.063,0.05,0.05,0.037,0.063,0.025,0.075,0.037,0.2,0.263,0.2,0.2,0.188,0.175,0.263,0.438,0.113,0.1,0.1,0.05,0.087,0.05,0.075,0.05,0.175,0.125,0.113,0.113,0.113,0.1,0.175,1.038,0.313,0.375,0.375,0.388,0.35,0.212,0.138,0.163,0.175,0.35,0.037,0.075,0.05
6407368008,1109087,Consumption,12/04/2017,No,0.063,0.025,0.063,0.025,0.05,0.025,0.063,0.025,0.05,0.025,0.05,0.037,0.037,0.037,0.037,0.05,0.037,0.063,0.025,0.087,0.063,0.412,0.625,0.15,0.05,0.05,0.175,0.037,0.063,0.037,0.063,0.037,0.063,0.037,0.075,0.762,0.738,0.35,0.3,0.263,0.287,0.275,0.287,0.25,0.338,0.25,0.237,0.237
6407368008,1109087,Consumption,13/04/2017,No,0.237,0.212,0.037,0.05,0.037,0.063,0.025,0.063,0.025,0.063,0.025,0.05,0.037,0.037,0.05,0.037,0.05,0.037,0.087,0.087,0.225,0.037,0.05,0.063,0.138,0.037,0.05,0.037,0.087,0.063,0.075,0.063,0.037,0.138,0.1,0.138,0.175,0.125,0.225,0.3,0.3,0.412,0.3,0.25,0.675,0.65,0.425,0.175
6407368008,1109087,Consumption,14/04/2017,No,0.075,0.037,0.087,0.037,0.075,0.025,0.063,0.037,0.063,0.025,0.063,0.037,0.063,0.063,0.063,0.037,0.05,0.037,0.05,0.037,0.25,0.25,0.738,0.212,0.2,0.175,0.188,0.375,0.3,0.525,0.725,0.175,0.138,0.125,0.138,0.237,0.325,0.338,0.713,0.887,0.637,0.762,0.575,0.5,0.388,0.087,0.063,0.075
6407368008,1109087,Consumption,15/04/2017,No,0.05,0.063,0.063,0.05,0.063,0.037,0.063,0.037,0.05,0.05,0.05,0.212,0.225,0.188,0.2,0.188,0.075,0.037,0.163,0.212,0.975,0.613,0.2,0.55,0.525,0.138,0.063,0.037,0.063,0.188,0.838,0.6,0.3,0.25,0.25,0.287,0.237,0.9,0.55,0.275,0.225,0.188,0.412,0.2,0.2,0.2,0.225,0.3
6407368008,1109087,Consumption,16/04/2017,No,0.225,0.037,0.075,0.075,0.087,0.05,0.05,0.037,0.063,0.025,0.05,0.037,0.05,0.025,0.063,0.025,0.05,0.037,0.063,0.1,0.138,0.1,0.063,0.05,0.05,0.163,0.113,0.113,0.1,0.1,0.063,0.163,0.175,0.125,0.15,0.263,0.463,0.575,0.55,0.65,0.3,0.3,0.225,0.275,0.225,0.275,0.237,0.237
6407368008,1109087,Consumption,17/04/2017,No,0.125,0.037,0.075,0.025,0.075,0.025,0.063,0.037,0.063,0.025,0.063,0.125,0.063,0.037,0.063,0.025,0.063,0.037,0.037,0.063,0.138,0.075,0.063,0.063,0.05,0.037,0.175,0.275,0.263,0.138,0.037,0.075,0.025,0.075,0.037,0.375,0.938,1.025,1.05,0.35,0.963,1.113,0.787,0.175,0.087,0.1,0.1,0.113
6407368008,1109087,Consumption,18/04/2017,No,0.037,0.063,0.063,0.05,0.063,0.05,0.05,0.037,0.063,0.037,0.063,0.037,0.063,0.037,0.063,0.037,0.05,0.037,0.063,0.05,0.087,0.237,0.175,0.1,0.125,0.063,0.087,0.063,0.063,0.075,0.125,0.087,0.037,0.087,0.05,0.175,0.6,0.9,0.887,0.575,0.388,0.325,0.3,0.3,0.287,0.325,0.287,0.325
6407368008,1109087,Consumption,19/04/2017,No,0.25,0.075,0.063,0.05,0.075,0.037,0.063,0.037,0.063,0.037,0.063,0.037,0.05,0.037,0.063,0.037,0.063,0.037,0.063,0.037,0.075,0.275,0.725,0.225,0.1,0.05,0.063,0.087,0.075,0.087,0.1,0.087,0.15,0.388,0.362,0.3,1.325,1.063,1.188,1.138,0.9,0.762,0.6,0.887,0.738,0.4,0.275,0.113
6407368008,1109087,Consumption,20/04/2017,No,0.087,0.063,0.087,0.037,0.075,0.037,0.075,0.037,0.063,0.037,0.063,0.175,0.075,0.037,0.063,0.025,0.063,0.037,0.15,0.05,0.063,0.025,0.063,0.037,0.113,0.087,0.037,0.113,0.087,0.125,0.063,0.075,0.037,0.175,0.325,1.038,0.95,0.688,0.487,0.388,0.338,0.338,0.375,0.338,0.362,0.313,0.3,0.1
6407368008,1109087,Consumption,21/04/2017,No,0.063,0.063,0.05,0.063,0.037,0.063,0.037,0.125,0.087,0.037,0.05,0.063,0.025,0.063,0.037,0.212,0.1,0.037,0.05,0.037,0.05,0.05,0.15,0.35,0.375,0.287,0.175,0.188,0.325,0.35,0.287,0.25,0.275,0.3,0.487,0.225,0.263,0.9,0.75,0.313,0.25,0.263,0.825,0.863,0.425,0.3,0.25,0.225
6407368008,1109087,Consumption,22/04/2017,No,0.237,0.863,1.087,0.775,0.25,0.037,0.063,0.063,0.025,0.063,0.05,0.037,0.05,0.05,0.037,0.05,0.05,0.037,0.05,0.575,0.175,0.087,0.037,0.075,0.075,0.075,0.075,0.075,0.063,0.063,0.2,0.113,0.075,0.5,0.875,0.438,0.45,0.613,0.45,0.475,0.475,0.375,0.4,0.412,0.375,0.362,0.325,0.425
6407368008,1109087,Consumption,23/04/2017,No,0.313,0.075,0.037,0.075,0.037,0.063,0.037,0.05,0.037,0.037,0.063,0.037,0.063,0.037,0.05,0.037,0.037,0.063,0.138,0.25,0.075,0.362,0.212,0.125,0.087,0.138,0.087,0.125,0.1,0.175,0.688,0.313,0.15,0.125,0.138,0.15,0.25,0.25,0.263,0.25,0.225,0.175,0.212,0.188,0.15,0.05,0.05,0.087
6407368008,1109087,Consumption,24/04/2017,No,0.087,0.1,0.087,0.1,0.075,0.1,0.087,0.1,0.075,0.1,0.075,0.087,0.087,0.075,0.237,0.037,0.063,0.025,0.113,0.037,0.1,0.087,0.037,0.125,0.45,0.637,0.625,0.287,0.113,0.037,0.15,0.037,0.063,0.05,0.125,0.212,0.225,0.25,0.3,1.337,1.038,0.412,0.388,0.313,0.163,0.05,0.05,0.063
